Population,Region,Coordinates,Latitude,Longitude,Anatolian Neolithic Farmer,Caucasus Hunter Gatherer,Zagrosian Neolithic Farmer,Natufian Hunter Gatherer,Eastern Hunter Gatherer,Western Hunter Gatherer,North African Neolithic Farmer,Ancient Ancestral South Indian,Amerindian,Melanesian,Australian Hunter Gatherer,Southeast Asian Neolithic Farmer,Arctic Hunter Gatherer,Amur River Hunter Gatherer,Jomon Hunter Gatherer,Yellow River Neolithic Farmer,East African Hunter Gatherer,South African Hunter Gatherer,West African Hunter Gatherer
Balochi*and*Brahui:Brahui:Brahui,Central/South Asia,"29.04,66.56",29.04,66.56,15.6,0.0,59.8,0.0,14.2,0.0,0.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baltic*Finnic:Estonia:Estonian,Europe,"58.55,25.82",58.55,25.82,37.0,2.4,0.0,0.0,50.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baltic*Finnic:Finland:Finnish*(Central),Europe,"62.5,25.5",62.5,25.5,35.2,2.2,0.0,0.0,51.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0,0.0,0.0
Baltic*Finnic:Finland:Finnish*(East),Europe,"61.68333333,27.26666667",61.68333333,27.26666667,33.6,0.8,0.0,0.0,54.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0
Baltic*Finnic:Finland:Finnish*(North),Europe,"67.0,26.0",67.0,26.0,33.8,1.6,0.0,0.0,52.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
Baltic*Finnic:Finland:Finnish*(Southeast),Europe,"61.0,28.0",61.0,28.0,36.0,2.6,0.0,0.0,49.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.4,0.0,0.0,0.0
Baltic*Finnic:Finland:Finnish*(Southwest),Europe,"60.16666667,22.73333333",60.16666667,22.73333333,37.8,2.4,0.0,0.0,49.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0
Baltic*Finnic:Russia:Ingrian,Europe,"59.47403,29.71145",59.47403,29.71145,35.4,2.6,0.0,0.0,51.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Baltic*Finnic:Russia:Karelian,Europe,"65.1691,30.8655",65.1691,30.8655,33.0,1.8,0.0,0.0,52.4,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Baltic*Finnic:Russia:Vepsian,Europe,"60.3353,34.7865",60.3353,34.7865,33.6,1.2,0.0,0.0,52.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0
Bashkir*and*Siberian*Tatar:Bashkir:Bashkir,Central/South Asia,"53.59671,56.55937",53.59671,56.55937,17.0,4.6,5.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0.0,0.0,0.0,0.0,0.0
Bashkir*and*Siberian*Tatar:Bashkir:Bashkir*(Baimaksky),Central/South Asia,"52.6,58.31666667",52.6,58.31666667,15.0,4.6,6.4,0.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,0.0,0.0,0.0,0.0,0.0
Bashkir*and*Siberian*Tatar:Bashkir:Bashkir*(Kugarchinsky),Central/South Asia,"52.71666667,56.63333333",52.71666667,56.63333333,16.4,6.8,3.6,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Bashkir*and*Siberian*Tatar:Siberian*Tatar:Siberian*Tatar*(Iskero-Tobolsk),Central/South Asia,"58.2,68.26666667",58.2,68.26666667,13.4,6.2,3.2,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,42.0,0.0,0.0,0.0,0.0,0.0
Bashkir*and*Siberian*Tatar:Siberian*Tatar:Siberian*Tatar*(Tomsk),Central/South Asia,"56.5,84.96666667",56.5,84.96666667,17.0,6.6,3.6,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0
Bashkir*and*Siberian*Tatar:Siberian*Tatar:Siberian*Tatar*(Yalutorovsky),Central/South Asia,"56.66666667,66.3",56.66666667,66.3,16.6,2.6,6.4,0.0,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,37.6,0.0,0.0,0.0,0.0,0.0
Central*Asia:Hazara:Hazara*(Afghanistan),Central/South Asia,"33.3708,64.5105",33.3708,64.5105,11.8,4.0,21.0,0.0,16.4,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,32.4,0.0,7.8,0.0,0.0,0.0
Central*Asia:Kazakh:Kazakh,Central/South Asia,"51.17,71.454",51.17,71.454,11.8,4.0,8.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,0.0,1.2,0.0,0.0,0.0
Central*Asia:Kazakh:Kazakh*(Kazakhstan),Central/South Asia,"51.16666667,71.43333333",51.16666667,71.43333333,12.0,2.4,8.8,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,0.0,0.0,0.0,0.0,0.0
Central*Asia:Kazakh:Kazakh*(Omsk),Central/South Asia,"54.98333333,73.36666667",54.98333333,73.36666667,10.2,6.2,5.4,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,0.0,1.2,0.0,0.0,0.0
Central*Asia:Kyrgyz:Kyrgyz,Central/South Asia,"42.0,74.0",42.0,74.0,8.4,3.8,7.4,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,0.0,1.8,0.0,0.0,0.0
Central*Asia:Kyrgyz:Kyrgyz*(Bishkek),Central/South Asia,"42.87472222,74.61222222",42.87472222,74.61222222,8.0,4.2,7.6,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,61.8,0.0,2.8,0.0,0.0,0.0
Central*Asia:Kyrgyz:Kyrgyz*(China),Central/South Asia,"39.71611111,76.16833333",39.71611111,76.16833333,7.8,0.4,11.0,0.0,15.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,60.0,0.0,4.6,0.0,0.0,0.0
Central*Asia:Kyrgyz:Kyrgyz*(Tajikistan),Central/South Asia,"39.04,73.42",39.04,73.42,7.2,6.0,9.0,0.0,16.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,57.6,0.0,3.4,0.0,0.0,0.0
Central*Asia:Tajik:Pamiri*(Badakhshan),Central/South Asia,"37.49166667,71.55583333",37.49166667,71.55583333,16.4,11.2,31.2,0.0,27.8,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,2.4,0.0,5.2,0.0,0.0,0.0
Central*Asia:Tajik:Pamiri*(Ishkashim),Central/South Asia,"36.72722222,71.61166667",36.72722222,71.61166667,16.0,10.4,32.0,0.0,27.4,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.4,1.8,0.0,3.6,0.0,0.0,0.0
Central*Asia:Tajik:Pamiri*(Rushan),Central/South Asia,"38.0,72.08333333",38.0,72.08333333,20.0,11.4,29.0,0.0,30.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,5.0,0.0,0.0,0.0
Central*Asia:Tajik:Pamiri*(Shugnan),Central/South Asia,"37.61666667,71.45",37.61666667,71.45,19.2,8.2,32.2,0.0,29.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0,1.6,1.2,0.0,4.2,0.0,0.0,0.0
Central*Asia:Tajik:Tajik,Central/South Asia,"38.8213,68.5549",38.8213,68.5549,21.4,11.0,29.0,0.0,22.8,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,7.2,0.0,5.8,0.0,0.0,0.0
Central*Asia:Tajik:Tajik*(Ayni),Central/South Asia,"39.3975,68.54055556",39.3975,68.54055556,22.2,10.2,28.8,0.0,22.2,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,7.2,0.0,6.8,0.0,0.0,0.0
Central*Asia:Tajik:Tajik*(Hisor),Central/South Asia,"38.52638889,68.53805556",38.52638889,68.53805556,21.2,9.8,28.6,0.0,23.6,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.4,0.0,0.0,0.0
Central*Asia:Tajik:Tajik*(Kulob),Central/South Asia,"37.90916667,69.78194444",37.90916667,69.78194444,20.0,13.0,29.8,0.0,23.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.8,5.2,0.0,4.8,0.0,0.0,0.0
Central*Asia:Tajik:Yaghnobi,Central/South Asia,"39.1486,69.2422",39.1486,69.2422,25.0,11.4,32.8,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0
Central*Asia:Turkmen:Turkmen,Central/South Asia,"37.08719,59.17574",37.08719,59.17574,23.2,9.6,21.8,1.4,17.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.2,0.0,0.0,0.0
Central*Asia:Turkmen:Turkmen*(Golestan),Central/South Asia,"36.83916667,54.44444444",36.83916667,54.44444444,25.0,11.0,25.4,2.6,14.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.6,0.0,0.0,0.0
Central*Asia:Turkmen:Turkmen*(Uzbekistan),Central/South Asia,"42.46666667,59.6",42.46666667,59.6,22.0,6.8,23.4,2.2,16.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0
Central*Asia:Uyghur:Uyghur*(China),Central/South Asia,"43.88,87.38",43.88,87.38,12.4,6.2,16.8,0.0,17.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,18.0,0.0,0.0,0.0
Central*Asia:Uzbek:Uzbek,Central/South Asia,"40.886,69.211",40.886,69.211,15.6,7.2,19.0,0.0,19.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,10.2,0.0,0.0,0.0
Central*Asia:Uzbek:Uzbek*(Khorezm),Central/South Asia,"41.33333333,61.0",41.33333333,61.0,21.0,5.4,17.6,0.0,19.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,1.0,0.0,0.0,0.0
Central*Asia:Uzbek:Uzbek*(Tashkent),Central/South Asia,"41.3,69.26666667",41.3,69.26666667,18.4,6.4,21.2,0.0,19.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,25.6,0.0,7.0,0.0,0.0,0.0
Central*Europe:Austria:Austrian,Europe,"48.24,13.89",48.24,13.89,50.6,7.8,0.0,0.0,34.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central*Europe:Germany:German,Europe,"48.649,12.4676",48.649,12.4676,49.2,7.2,0.0,0.0,35.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central*Europe:Germany:German*(Bavaria),Europe,"49.07861111,11.38555556",49.07861111,11.38555556,50.0,7.2,0.0,0.0,35.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central*Europe:Germany:German*(Hamburg),Europe,"53.55,10.0",53.55,10.0,46.4,6.8,0.0,0.0,37.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crimea:Crimean*Tatar:Crimean*Tatar*(Steppe),Europe,"45.0,34.08",45.0,34.08,31.2,8.8,5.8,0.0,25.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,24.2,0.0,4.6,0.0,0.0,0.0
East-Central*Europe:Hungary:Hungarian,Europe,"46.90685857,19.65552714",46.90685857,19.65552714,49.4,7.6,0.0,0.0,37.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East-Central*Europe:West*Slavic:Czech,Europe,"49.873398,15.10437",49.873398,15.10437,46.8,6.2,0.0,0.0,39.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East-Central*Europe:West*Slavic:Polish,Europe,"51.8439,18.6255",51.8439,18.6255,43.6,5.6,0.0,0.0,42.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East-Central*Europe:West*Slavic:Slovakian,Europe,"48.545705,18.78479",48.545705,18.78479,46.4,5.4,0.0,0.0,41.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Asia:Amur*Basin:Nanai,East Asia,"48.43426,134.79726",48.43426,134.79726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,95.4,0.0,0.0,0.0,0.0,0.0
East*Asia:Amur*Basin:Negidal,East Asia,"52.96584,139.20575",52.96584,139.20575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,89.6,0.0,0.0,0.0,0.0,0.0
East*Asia:Amur*Basin:Nivkh,East Asia,"52.59,140.681",52.59,140.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,8.0,90.8,0.0,0.0,0.0,0.0,0.0
East*Asia:Amur*Basin:Oroqen,East Asia,"50.6319,125.017",50.6319,125.017,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.8,0.8,94.4,0.0,0.0,0.0,0.0,0.0
East*Asia:Amur*Basin:Ulchi,East Asia,"51.85209,140.29045",51.85209,140.29045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,91.4,0.0,0.0,0.0,0.0,0.0
East*Asia:Bonan:Bonan*(China),East Asia,"35.515,102.01778",35.515,102.01778,2.0,3.0,3.2,0.0,0.0,0.4,0.0,2.2,0.0,0.0,0.0,1.8,1.8,8.6,0.0,77.0,0.0,0.0,0.0
East*Asia:Buryat:Buryat,East Asia,"50.85331,105.5637",50.85331,105.5637,1.2,0.0,4.4,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.6,0.0,0.0,0.0,0.0,0.0
