Population,Region,Latitude,Longitude,Ancient North Eurasian,Basal East Eurasian,Caucasus Dzudzuana,East African Hunter Gatherer,East Eurasian,South African Hunter Gatherer,West African Hunter Gatherer,Western Hunter Gatherer
East*Asia:Amur*Basin:Negidal,East Asia,52.96584,139.20575,0,0,0,0,100,0,0,0
East*Asia:Amur*Basin:Nivkh,East Asia,52.59,140.681,0.4,0,0,0,99.6,0,0,0
East*Asia:Amur*Basin:Oroqen,East Asia,50.6319,125.017,0.6,0,0,0,99.4,0,0,0
East*Asia:Amur*Basin:Ulchi,East Asia,51.85209,140.29045,0.8,0,0,0,99.2,0,0,0
East*Asia:Bonan:Bonan*(China),East Asia,35.515,102.01778,0,0,4.2,0,94.6,0,0,1.2
East*Asia:Buryat:Buryat,East Asia,50.85331,105.5637,12.4,0,3,0,84.6,0,0,0
East*Asia:Buryat:Buryat*(Aginsky),East Asia,50.89888889,114.5330556,12.4,0,2.4,0,85.2,0,0,0
East*Asia:Buryat:Buryat*(Duldurginsky),East Asia,50.79305556,113.4711111,10.8,0,2.2,0,87,0,0,0
East*Asia:Buryat:Buryat*(Irkutsk),East Asia,52.28333333,104.2833333,12.8,0,4,0,83.2,0,0,0
East*Asia:Buryat:Buryat*(Khorinsky),East Asia,52.16666667,109.7666667,11.4,0,3,0,85.6,0,0,0
East*Asia:Buryat:Buryat*(Mongolia),East Asia,48.7686,109.005,11.8,0,2.8,0,85.4,0,0,0
East*Asia:Buryat:Buryat*(Zakamensky),East Asia,55.75,103.4333333,12.6,0,2.6,0,84.8,0,0,0
East*Asia:Dong:Dong*(Guizhou),East Asia,26.83333333,106.8333333,0,0,0,0,100,0,0,0
East*Asia:Dong:Dong*(Hunan),East Asia,28.11277778,112.9833333,0,0,0,0,100,0,0,0
East*Asia:Dongxiang:Dongxiang*(China),East Asia,35.66354,103.38952,4.2,0,7.2,0,87.8,0,0,0.8
East*Asia:Han:Han*(Chongqing),East Asia,29.56361111,106.5502778,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Fujian),East Asia,25.9,118.3,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Guangdong),East Asia,23.4,113.5,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Henan),East Asia,33.9,113.5,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Hubei),East Asia,31.2,112.3,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Jiangsu),East Asia,32.9,119.8,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Shandong),East Asia,36.4,118.4,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Shanghai),East Asia,31.22861111,121.4747222,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Shanxi),East Asia,37.7,112.4,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Sichuan),East Asia,30.5,102.5,0,0,0,0,100,0,0,0
East*Asia:Han:Han*(Zhejiang),East Asia,29.2,120.5,0,0,0,0,100,0,0,0
East*Asia:Japanese:Japanese,East Asia,35,135,0,0,0,0,100,0,0,0
East*Asia:Korean:Korean,East Asia,37.54,126.98,0,0,0,0,100,0,0,0
East*Asia:Miao:Miao*(China),East Asia,22.5638,101.95,0,0,0,0,100,0,0,0
East*Asia:Mongol:Mongol*(Mongolia),East Asia,48.32397,106.28874,11.4,0,4.8,0,83.8,0,0,0
East*Asia:Naxi:Naxi*(China),East Asia,27.5,100,0,1.4,0,0,98.6,0,0,0
East*Asia:Qiang:Qiang*(Danba),East Asia,30.95,101.85,0,0,0,0,100,0,0,0
East*Asia:Qiang:Qiang*(Daofu),East Asia,30.98333333,101.1333333,0,0.4,0,0,98.8,0,0,0.8
East*Asia:She:She*(China),East Asia,23.0399,114.814,0,0,0,0,100,0,0,0
East*Asia:Tibetan:Tibetan,East Asia,28.3681,90.1872,0,9.8,0.2,0,89.6,0,0,0.4
East*Asia:Tibetan:Tibetan*(Chamdo),East Asia,31.14305556,97.17,0,4,0,0,96,0,0,0
East*Asia:Tibetan:Tibetan*(Gangcha),East Asia,37.31666667,100.15,0.8,3.6,2.2,0,92.4,0,0,1
East*Asia:Tibetan:Tibetan*(Gannan),East Asia,35.00027778,102.9102778,0.6,0,4.4,0,94.2,0,0,0.8
